Lastupdated,Status_Timestamp,Zone_Number,Status_Description,KerbsideID,Location
2024-12-09T03:44:36+03:00,2024-11-03T09:43:00+03:00,7250,Present,25064,"-37.81504519948656, 144.9826436998707"
2024-12-09T03:44:36+03:00,2024-11-03T14:43:02+03:00,7250,Present,25058,"-37.81535520171211, 144.98259065288153"
2024-12-09T03:44:36+03:00,2024-11-03T15:36:09+03:00,7250,Unoccupied,25057,"-37.81540711679997, 144.98258175058874"
2024-12-09T03:44:36+03:00,2024-12-09T01:18:31+03:00,7362,Present,62326,"-37.8180617830255, 144.95738607145614"
2024-12-09T03:44:36+03:00,2024-12-09T03:31:23+03:00,7362,Present,62325,"-37.81804341460115, 144.95745016149868"
2024-12-09T03:44:36+03:00,2024-12-09T03:09:05+03:00,7252,Present,17381,"-37.80940577334893, 144.98097549263258"
2024-12-09T03:44:36+03:00,2024-04-03T00:51:04+03:00,,Present,25032,"-37.814837074305586, 144.96143116050925"
2024-12-09T03:44:36+03:00,2024-12-09T03:08:49+03:00,7333,Present,63072,"-37.815725804409745, 144.96201518594745"
2024-12-09T03:44:36+03:00,2024-12-09T02:29:11+03:00,7332,Present,63015,"-37.81536750040925, 144.96303304681143"
2024-12-09T03:44:36+03:00,2024-12-08T22:00:30+03:00,7332,Unoccupied,63016,"-37.81538526129633, 144.9629727358269"
2024-12-09T03:44:36+03:00,2024-12-09T03:05:09+03:00,7264,Unoccupied,10973,"-37.81404552354326, 144.9777355293637"
2024-12-09T03:44:36+03:00,2024-12-09T03:05:02+03:00,7264,Unoccupied,10972,"-37.81399372704034, 144.9777442225083"
2024-12-09T03:44:36+03:00,2024-12-09T03:41:33+03:00,7264,Present,10975,"-37.814149118404785, 144.97771810263913"
2024-12-09T03:44:36+03:00,2024-11-22T00:48:22+03:00,7301,Unoccupied,17295,"-37.81633154411273, 144.9775358109705"
2024-12-09T03:44:36+03:00,2024-11-12T01:30:25+03:00,7301,Present,17285,"-37.816323431722935, 144.9774758239897"
